date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1
11/10/2014,787531.0,,1042806,1211874,1157040,219021,137402,233987,183220.0,553535,40064.0,376890.0,281574.0,640.0,289754.0,1021225.0,1021225.0,4885328.0,39402055.0,1286197,89670,277406.0,1050281.0,1211874,357002,,272547,126429.0,1042806,219021,1019198,226459,4237669,126429.0
11/11/2014,684960.0,,960780,1311864,814900,156636,90482,190061,155298.0,587162,18826.0,466113.0,367529.0,731.0,271245.0,758410.0,758410.0,3179523.0,15045017.0,1021443,58548,315069.0,1401164.0,1311864,156948,,130522,4392.0,960780,156636,742580,179687,3287110,4392.0
11/12/2014,543547.0,,773742,1360984,827180,200537,127761,302862,144214.0,996090,19529.0,828648.0,295952.0,12779.0,589660.0,1805003.0,1805003.0,3581745.0,23391855.0,1183520,85223,321830.0,1677162.0,1360984,131415,,186690,78744.0,773742,200537,1055744,209429,5412377,78744.0
11/13/2014,581534.0,,835476,4531249,766180,216872,175580,239311,204208.0,674039,23869.0,566657.0,338926.0,19628.0,589510.0,1307486.0,1307486.0,3901381.0,29850044.0,1989208,104657,274701.0,1522883.0,4531249,140875,,280838,20904.0,835476,216872,822402,281484,4447516,20904.0
11/14/2014,486399.0,,849042,1431170,901545,167645,144663,944308,203222.0,533931,19227.0,631465.0,282394.0,3728.0,1074712.0,897609.0,897609.0,3870741.0,26335754.0,1852291,89115,817941.0,1212768.0,1431170,140283,,281056,2724.0,849042,167645,623258,273577,2856257,2724.0
11/17/2014,457059.0,,681900,1668969,887465,171881,196140,540447,213668.0,377431,21080.0,715595.0,343491.0,1782.0,412007.0,1172416.0,1172416.0,3643737.0,16584592.0,2508243,69885,464163.0,1316571.0,1668969,219453,,184089,6665.0,681900,171881,619313,186839,4349621,6665.0
11/18/2014,424540.0,,1020048,1532151,715275,209998,148906,600471,387063.0,508002,39989.0,410533.0,189323.0,458.0,345031.0,1160639.0,1160639.0,4964856.0,15502583.0,1973411,105044,417182.0,1425687.0,1532151,109180,,309371,7965.0,1020048,209998,740802,222848,7360960,7965.0
11/19/2014,360458.0,,668397,1421613,872105,213806,229478,282184,266389.0,673605,30829.0,674473.0,317309.0,551.0,219574.0,892583.0,892583.0,4277616.0,13161657.0,2333093,57182,295547.0,1271273.0,1421613,229330,,174782,7487.0,668397,213806,883721,222012,2880490,7487.0
11/20/2014,452555.0,,1084188,907442,732025,261044,768663,268920,729400.0,442175,17713.0,567050.0,236664.0,4400.0,315210.0,949332.0,949332.0,2030030.0,16001632.0,1179411,103043,355726.0,1183494.0,907442,969829,,333370,17496.0,1084188,261044,633133,168868,4077183,17496.0
11/21/2014,1000687.0,,1130415,2161605,1208815,307850,303325,323748,239255.0,664917,17282.0,822558.0,263250.0,4321.0,370849.0,1353887.0,1353887.0,6642187.0,36072490.0,2585452,109682,504996.0,1746371.0,2161605,304925,,358628,2090.0,1130415,307850,1075224,322820,7687291,2090.0
11/24/2014,468713.0,,967476,1216047,893320,185872,223028,272634,137190.0,524222,22522.0,405187.0,282445.0,1646.0,334813.0,663923.0,663923.0,5790024.0,19968696.0,1168756,63226,453984.0,1497482.0,1216047,233200,,191437,6561.0,967476,185872,744170,356369,4742988,6561.0
11/25/2014,713511.0,,918096,1857709,3258530,219210,231509,495642,211610.0,763716,28487.0,902559.0,586723.0,661.0,475874.0,2377703.0,2377703.0,4248257.0,18945804.0,2056432,64646,536434.0,1613776.0,1857709,408667,,197824,68372.0,918096,219210,771999,398135,4792786,68372.0
11/26/2014,481883.0,,635343,1155168,719940,135815,769030,169239,175751.0,504549,16689.0,251013.0,334528.0,1091.0,278576.0,959664.0,959664.0,2934468.0,27429920.0,1132554,100654,495191.0,1456732.0,1155168,127312,,204240,6989.0,635343,135815,772623,183009,3094660,6989.0
