,date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE,,,
3495,10/15/2012,29.02,,11.5283,25.6201,8.12,44.54,69.53,6.634,28.265,42.99,14.9047,28.183,22.645,200,20.44,8.42,8.42,4.9628,0.7013,4.608,263.6754,67.25,14.7521,25.6201,28.87,,15.5943,,11.5283,44.54,25.52,39.1398,4.5717,,95.85,,,
3496,10/16/2012,29.33,,11.4733,25.5134,8.314,44.9877,67.82,6.733,28.26,43.07,14.7537,28.6369,22.66,190,20.905,8.615,8.615,4.7932,0.7098,4.701,266.1664,68.31,14.9161,25.5134,29.1,,15.8749,,11.4733,44.9877,25.825,39.3591,4.6517,,97.94,,,
3497,10/17/2012,29.43,,11.7183,26.195,8.189,44.6795,68.03,6.8,27.925,42.7,15.0557,29.9885,22.255,200,21.015,8.711,8.711,4.9876,0.7591,4.888,276.2136,65.57,15.2264,26.195,29.285,,16.0102,,11.7183,44.6795,24.97,38.8902,4.656,,98.57,,,
3498,10/18/2012,29.56,,11.635,26.3155,8.176,44.5033,68.28,6.582,28.02,42.665,15.2306,30.9317,23.105,200,20.925,8.48,8.48,5.11,0.8189,4.949,281.7769,65.67,15.3106,26.3155,29.32,,15.9033,,11.635,44.5033,24.68,39.5179,4.5979,,98.75,,,
3499,10/19/2012,29.665,,11.9833,25.3743,8.256,44.4593,69.32,6.343,27.9,42.555,15.2227,29.8473,23.16,190,20.815,8.435,8.435,5.0471,0.798,4.775,285.0567,65.38,15.1998,25.3743,29.28,,15.8131,,11.9833,44.4593,24.64,39.8128,4.5775,,97.99,,,
3500,10/22/2012,29.765,,11.5217,25.0962,8.211,44.3492,68.9,6.378,27.9,42,14.9444,30.3769,23.11,190,20.9,8.303,8.303,4.9446,0.7952,4.778,281.0296,64.72,15.1954,25.0962,28.895,,15.7079,,11.5217,44.3492,24.4,39.5103,4.6589,,97.41,,,
3501,10/23/2012,29.605,,11.1467,24.2199,8.102,43.7034,67.64,6.323,27.73,41.125,14.7219,29.2118,22.73,190,20.605,8.201,8.201,4.8188,0.7705,4.651,272.394,65,14.8363,24.2199,28.52,,15.1567,,11.1467,43.7034,24.08,38.7995,4.5993,,95.35,,,
3502,10/24/2012,29.665,,11.2983,24.7763,8.151,43.5419,67.51,6.497,27.83,41.41,14.6265,29.7364,22.75,200,20.7,8.173,8.173,4.5988,0.7724,4.821,272.1034,66.9,14.823,24.7763,28.615,,15.4256,,11.2983,43.5419,23.775,38.928,4.7026,,95.89,,,
3503,10/25/2012,29.885,,11.24,24.4888,8.337,44.0336,67.63,6.5,27.68,40.895,14.4913,28.8033,22.745,200,20.795,8.452,8.452,4.44,0.7677,4.702,270.6088,69,14.7432,24.4888,28.815,,15.3021,,11.24,44.0336,23.65,38.376,4.5877,,95.61,,,
3504,10/26/2012,29.85,,11.1517,24.4424,8.338,43.8648,68.65,6.58,27.5,41.215,15.2624,29.5195,22.7,190,20.98,8.505,8.505,4.3697,0.7591,4.634,271.1485,69.69,14.7654,24.4424,28.75,,15.3121,,11.1517,43.8648,24.05,39.17,4.6502,,96.22,,,
3505,10/29/2012,29.98,,11.065,23.798,8.329,43.7254,67.34,6.65,27.375,40.77,15.3181,29.2118,22.695,180,20.78,8.361,8.361,4.0653,0.7345,4.59,264.0906,69.82,14.6235,23.798,28.765,,15.3154,,11.065,43.7254,24.115,39.4649,4.5601,,95.54,,,
3506,10/30/2012,29.9,,11.2833,24.3544,8.21,43.9162,67.53,6.61,27.395,41.06,15.477,29.9936,22.685,190,21.005,8.347,8.347,4.0157,0.7563,4.6,266.3325,69.79,14.6103,24.3544,28.665,,15.5542,,11.2833,43.9162,24.61,39.896,4.6371,,96.82,,,
3507,10/31/2012,29.72,,11.3,24.4332,8.129,43.5713,67.38,6.629,27.135,41.565,15.5088,32.5052,22.325,180,21.085,8.193,8.193,4.0827,0.7449,4.537,263.5093,69.62,14.4728,24.4332,28.605,,15.4925,,11.3,43.5713,24.07,39.1776,4.5892,,96.02,,,
