date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE
5/29/2009,0.0,,0.050064378,0.086644137,0.006978588,0.028095725,0.008287023,0.064191239,0.012515078,0.014628821,0.005478744,0.003117653,,0.012783152,0.024395418,-0.00664322,-0.00664322,0.096368479,0.038272118,0.038953599,0.063227642,0.038296041,0.001486869,0.086644137,0.045034965,,0.015014876,,0.050064378,0.028095725,0.018674604,0.026665334,0.021264379,,0.031070855
6/1/2009,-0.003022163,,0.023174545,0.010949377,0.020475665,-0.00473831,-0.005801586,0.019384265,-0.018615041,-0.010114052,0.064033182,0.028418936,,0.118246227,0.016773659,0.005900865,0.005900865,-0.039564125,0.001657332,0.035103841,0.035712229,0.0132615,-0.0005396,0.010949377,0.027301927,,0.009606165,,0.023174545,-0.00473831,-0.009870102,0.008583668,-0.00605345,,-0.00044479
6/2/2009,0.000336814,,-0.071584077,-0.022580482,-0.012810619,-0.012327862,-0.022758218,-0.018568233,-0.013808801,-0.034565217,0.0,-0.042745726,,0.069306919,-0.014052953,-0.016034415,-0.016034415,-0.034068124,-0.015176585,-0.042791193,-0.022525495,0.009406953,-0.020820878,-0.022580482,-0.012506514,,-0.017374395,,-0.071584077,-0.012327862,-0.011234642,0.002434669,0.002639766,,-0.019690733
6/3/2009,0.000673401,,-0.026891552,-0.01578169,-0.011257036,0.007943625,0.008359873,-0.020743105,0.000769349,-0.017788786,-0.033290454,-0.017140966,,0.018518522,-0.013840116,-0.010333863,-0.010333863,0.021901447,0.026360002,-0.005008347,-0.005616881,-0.025121556,-0.013531951,-0.01578169,-0.014775726,,-0.032279739,,-0.026891552,0.007943625,-0.019040583,-0.011121989,-0.002632816,,0.000453926
6/4/2009,0.007065949,,0.001857051,0.01263767,0.014547755,0.017449464,0.00315831,-0.000581937,0.001076261,0.008482348,-0.027815212,-0.005048345,,0.052363639,0.016757436,0.014457831,0.014457831,0.015338075,0.034319259,0.004847129,0.019373923,-0.024522028,-0.008260861,0.01263767,0.006159614,,-0.030978628,,0.001857051,0.017449464,-0.004734554,0.006340344,-0.014858113,,0.007599819
6/5/2009,-0.02171734,,-0.02612706,-0.045517781,0.018859102,0.009543805,-0.005903188,-0.037614999,0.001996621,0.000227324,-0.043595483,-0.034133083,,-0.023842431,-0.017305315,0.004750594,0.004750594,-0.024660199,-0.007258241,-0.019109462,0.001139335,0.005538986,-0.0119946,-0.045517781,-0.040723982,,-7.85e-05,,-0.02612706,0.009543805,-0.007375234,-0.040651543,-0.044691561,,-0.014296972
6/8/2009,0.044398907,,0.043822083,-0.026479629,0.006883892,0.000134411,-0.002969121,-0.007744434,-0.008583691,0.0,0.009970215,-0.051479779,,0.00194691,-0.021802935,0.014972419,0.014972419,-0.009113745,0.026606564,0.046907509,-0.006931392,0.026694915,0.011998414,-0.026479629,-0.009156493,,0.014341527,,0.043822083,0.000134411,-0.003964039,-0.004236291,-0.003946947,,0.002284148
6/9/2009,0.001308044,,0.016627955,-0.001129575,-0.002127013,0.00548025,0.007444908,0.012195122,0.008194187,-0.010454545,0.033850653,0.017016459,,0.029500073,0.015645092,-0.010093168,-0.010093168,0.031490847,0.033038822,0.060523939,0.039170628,0.012794057,0.000563669,-0.001129575,-0.014841781,,-0.008080671,,0.016627955,0.00548025,0.012934399,0.042554389,0.00056321,,0.005241568
6/10/2009,-0.011757022,,0.085068221,0.006329361,0.012180268,-0.001633629,-0.022563799,0.026506024,0.040024536,-0.024115756,-0.024555637,-0.027821457,,0.070864807,-0.001055075,0.007058824,0.007058824,0.003346877,0.008345428,0.0,-0.055689047,-0.00407498,0.003386475,0.006329361,-0.015065378,,-0.029415208,,0.085068221,-0.001633629,-0.005893494,0.023874039,-0.010192389,,0.005667649
6/11/2009,0.012557832,,0.000983923,0.006849,-0.002707581,-0.012283422,-0.010181452,-0.007042254,-0.02034798,0.012002824,0.103496497,0.016396786,,0.027719914,0.002112379,-0.012461059,-0.012461059,0.005329756,-0.020973629,-0.005110733,-0.01268645,-0.014729951,0.001969834,0.006849,0.027417027,,0.033915342,,0.000983923,-0.012283422,-0.006916505,-0.005978269,0.00828662,,-0.001916141
6/12/2009,-0.033289817,,-0.044233,-0.033456409,-0.004223228,-0.018373771,-0.022303697,-0.021276596,-0.015803733,-0.014418605,0.013939889,-0.052104049,,-0.072341749,-0.028035413,-0.014984227,-0.014984227,-0.053247628,-0.044841166,-0.063356164,-0.032580654,-0.020348837,-0.04406476,-0.033456409,-0.011516854,,-0.034183381,,-0.044233,-0.018373771,-0.021052202,-0.03268577,-0.037970349,,-0.030265387
6/15/2009,0.015530047,,-0.035995639,0.001269206,-0.000454408,-0.000705749,-0.001145833,0.016908213,-0.001682214,-0.027843322,-0.07750008,-0.021563026,,-0.008235296,0.000867491,0.01521217,0.01521217,-0.024506634,0.005222363,0.007312614,0.001778171,0.029673591,0.00264276,0.001269206,-0.005399261,,-0.012270865,,-0.035995639,-0.000705749,-0.012868557,0.015757443,0.004124877,,-0.001397461
6/16/2009,-0.043218085,,-0.054067894,-0.044594568,-0.002576148,-0.014504936,0.007091459,-0.026128266,0.027573529,0.001456311,-0.048778584,-0.006158625,,-0.068293517,0.001083424,-0.022476341,-0.022476341,-0.027031327,-0.037897845,-0.031397459,-0.066792359,-0.019349527,-0.006150187,-0.044594568,0.045142857,,-0.021106378,,-0.054067894,-0.014504936,-0.044436466,-0.018778608,0.032571524,,-0.016326531
6/17/2009,-0.010771369,,-0.028940067,0.008441859,0.016256457,-0.000428427,0.007041524,-0.029756098,-0.010584377,0.013087736,-0.027066569,0.012173726,,-0.001455065,0.006926407,0.002016942,0.002016942,-0.01204491,0.009151367,0.013865467,-0.000356528,-0.02225021,0.030937908,0.008441859,0.000546747,,0.026777441,,-0.028940067,-0.000428427,0.012929748,-0.004576835,0.026697363,,0.008535862
6/18/2009,0.023533544,,0.021672474,0.034565665,-0.018089401,0.003573057,0.01840617,0.013448969,-0.005574808,0.014832536,-0.061492516,-0.006443809,,0.028961742,0.011607911,-0.012479871,-0.012479871,0.006964749,0.034752732,0.022361855,0.021883761,-0.010734221,-0.003143113,0.034565665,0.000546448,,0.019305841,,0.021672474,0.003573057,0.008504348,0.00982023,-0.012175452,,0.00916892
6/19/2009,0.004118051,,-0.062524157,-0.044045701,-0.041108404,-0.030346327,-0.00141357,-0.033858365,-0.008181818,-0.015087223,-0.060844521,-0.035670808,,-0.031687015,-0.035699108,-0.014268243,-0.014268243,-0.045971265,-0.085732949,-0.03922632,-0.019029181,-0.019097222,-0.010894909,-0.044045701,-0.027034407,,-0.051995981,,-0.062524157,-0.030346327,-0.029873916,-0.046965468,-0.027737401,,-0.030285381
6/22/2009,-0.019822283,,-0.00160066,-0.006774064,-0.008097809,0.019544013,-0.01718908,0.004621309,-0.013596089,0.014121589,-0.078071103,-0.016813764,,-0.010968931,0.004847951,0.010339123,0.010339123,0.005182574,-0.001131222,-0.042144873,-0.019576638,0.000884956,0.002461927,-0.006774064,-0.006455234,,0.020325289,,-0.00160066,0.019544013,-0.011234765,-0.017152078,0.002027525,,-0.001921922
6/23/2009,0.056485356,,0.049797168,0.045294227,0.009284457,0.020606775,-0.002057613,0.023511372,-0.000154871,0.021949493,0.172970714,0.025081155,,0.044362291,0.035964912,0.012279984,0.012279984,0.018038348,0.026047565,0.025338833,0.037695922,0.008399646,0.0,0.045294227,0.012146893,,0.028507667,,0.049797168,0.020606775,0.045257952,0.034236771,0.002289125,,0.021422554
