date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity
3/4/1999,121710,,4151002.0,481030,2105634,,120644.0,190431,,36340.0,80140,,,19965.0,18292,81739.0,,,,,19380.0,36340,173408,,37649.0,,9263151.0,790902,4387268.0,8901,,351361.0,99744,1710336,6174,481030,,370795.0,
3/5/1999,201870,,3594095.0,1468900,1963495,,195095.0,363474,,640010.0,200000,,,62471.0,113529,85808.0,,,,,40158.0,640010,394380,,47589.0,,10039676.0,413802,4711843.0,110601,,253612.0,42702,1895688,22539,1468900,,520794.0,
3/8/1999,194910,,2507193.0,408000,921507,,160941.0,195794,,25050.0,211760,,,11886.0,23257,82235.0,,,,,106126.0,25050,44573,,70102.0,,4570783.0,648978,1147916.0,68823,,90784.0,38010,2330328,14238,408000,,297509.0,
3/9/1999,83280,,5793443.0,1380480,1156778,,204738.0,135438,,50120.0,190580,,,29569.0,133971,69857.0,,,,,20429.0,50120,126630,,100416.0,,3726318.0,623733,1349005.0,26750,,187594.0,29832,3226830,159207,1380480,,391569.0,
3/10/1999,109670,,3495532.0,1455910,1342305,,835954.0,306934,,183950.0,285340,,,59726.0,90142,90200.0,,,,,126358.0,183950,37170,,133159.0,,4096426.0,799065,1247231.0,51780,,214227.0,45042,1909338,31599,1455910,,82948.0,
3/11/1999,379440,,4184193.0,378010,2783883,,793567.0,279538,,74450.0,602460,,,20132.0,63832,74987.0,,,,,75301.0,74450,47250,,75696.0,,7340978.0,377751,1065975.0,56869,,203500.0,89884,986700,15438,378010,,183514.0,
3/12/1999,128470,,7257284.0,1283930,2920774,,172601.0,196316,,271770.0,497240,,,17084.0,41683,101173.0,,,,,48883.0,271770,118440,,68755.0,,5764881.0,445311,1211546.0,40232,,382896.0,117744,1333422,27441,1283930,,272574.0,
3/15/1999,264990,,3145918.0,661050,1297152,,166568.0,232858,,227520.0,588600,,,20411.0,25678,64596.0,,,,,41709.0,227520,208110,,64906.0,,2681795.0,268671,1207922.0,134621,,191495.0,46880,1015980,27921,661050,,150353.0,
3/16/1999,403130,,4235800.0,1159510,2207264,,272019.0,168213,,350770.0,341420,,,55539.0,12325,57304.0,,,,,162412.0,350770,272738,,83643.0,,4517555.0,456123,3341816.0,45710,,212037.0,69664,728628,67641,1159510,,148884.0,
3/17/1999,267930,,3256327.0,1551360,2220222,,194418.0,140648,,327820.0,415560,,,105977.0,21898,135234.0,,,,,28743.0,327820,213623,,107116.0,,3670323.0,390927,1523520.0,55795,,238253.0,58100,5043888,26826,1551360,,238860.0,
3/18/1999,192810,,5919796.0,785580,2866804,,181463.0,553065,,362540.0,488240,,,88677.0,57246,67141.0,,,,,25171.0,362540,287070,,138978.0,,5112095.0,348258,2242219.0,90697,,285024.0,52294,2085114,118356,785580,,163294.0,
3/19/1999,451440,,8014958.0,275340,2957000,,785525.0,883741,,120220.0,544820,,,125538.0,55135,82708.0,,,,,52258.0,120220,378053,,101684.0,,4084375.0,368139,934733.0,9392,,225366.0,81798,3458436,270810,275340,,191601.0,
3/22/1999,90650,,8014958.0,497310,1265265,,305427.0,341542,,181370.0,489460,,,32918.0,59506,76767.0,,,,,100882.0,181370,43313,,25972.0,,3527188.0,254715,479374.0,8300,,116727.0,48058,1816392,96075,497310,,120895.0,
3/23/1999,321670,,18481221.0,1102590,1814918,,293225.0,236161,,403730.0,714040,,,496851.0,42556,167789.0,,,,,123378.0,403730,269063,,74689.0,,4014755.0,570255,1073954.0,33190,,253191.0,111838,1860156,82872,1102590,,365144.0,
3/24/1999,250870,,10688180.0,1231380,4448550,,129990.0,517379,,218450.0,260760,,,77808.0,28935,108867.0,,,,,73522.0,218450,438480,,103524.0,,7197490.0,1431681,2825661.0,61208,,586645.0,63309,3060612,70803,1231380,,556767.0,
3/25/1999,129590,,5216065.0,284960,1651580,,129815.0,283834,,75160.0,296100,,,102557.0,37193,40158.0,,,,,220522.0,75160,48353,,53150.0,,4435467.0,420333,1038445.0,39954,,163759.0,62012,2374368,44673,284960,,257952.0,
3/26/1999,111870,,7568653.0,933090,2805846,,84343.0,513587,,98920.0,305900,,,148164.0,12811,41475.0,,,,,34793.0,98920,71558,,74660.0,,4875839.0,474909,1491269.0,96860,,223593.0,112395,2206884,27822,933090,,322272.0,
3/29/1999,175930,,4552684.0,215000,1786049,,287109.0,183679,,94000.0,335000,,,46116.0,22627,50517.0,,,,,59067.0,94000,27248,,73356.0,,2977171.0,710286,819135.0,30738,,246684.0,38344,1191036,34107,215000,,183349.0,
3/30/1999,236970,,12508861.0,967160,2087261,,524282.0,1592989,,92880.0,282260,,,41936.0,42626,28236.0,,,,,29777.0,92880,140123,,69720.0,,2152043.0,687852,1626733.0,48643,,292046.0,33425,1665024,15969,967160,,178484.0,
3/31/1999,234200,,5436615.0,744700,3216979,,457910.0,895544,,34140.0,539020,,,30032.0,13494,40191.0,,,,,79374.0,34140,147473,,55857.0,,3538664.0,1067814,1215187.0,21957,,469301.0,30590,1327278,41517,744700,,249459.0,
