date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE
7/13/2020,0.002874743,-0.024907885,0.065073424,-0.009363433,-0.035137702,0.019690577,-0.015089316,-0.012682927,-0.00915493,,0.006003752,-0.018625828,-0.009446694,-0.008062546,0.019967189,-0.018059791,-0.002442174,,-0.005604858,,-0.010084428,0.006273526,0.006003752,-0.029837838,-0.017162471,0.007457411,,,-0.003739094,-0.010656583,-0.004205467,0.00518686,-0.0180944,-0.027383105,-0.041763341,-0.027870968,-0.035137702,-0.037532134,-0.026696329,-0.037532134,-0.018769096,0.019967189,,0.008502773,-0.010084428,-0.009363433,-0.00949713
7/14/2020,0.001228501,0.046251511,-0.029061909,0.018032521,0.006889764,0.004597701,0.023365769,0.035820158,0.004975124,,0.026109661,0.016026993,0.014986376,0.010490372,0.041135862,-0.009823484,0.066992117,,0.0,,0.02416489,0.017040732,0.026109661,0.066636951,0.010768335,0.007672082,,,0.011259383,0.014593468,0.00361991,0.001058481,0.047203995,0.022310757,0.028248588,0.013273162,0.006889764,0.00400641,0.019142857,0.00400641,0.014234875,0.041135862,,0.021260997,0.02416489,0.018032521,0.019797199
7/15/2020,0.022494888,-0.032071656,0.030767089,-0.002524227,-0.000325839,0.005491991,-0.006851261,-0.004054376,-0.007779349,,0.022173755,-0.01701951,0.008948546,0.015256434,0.04584729,0.014954362,-0.021767675,,-0.00234852,,-0.013879251,-0.006947282,0.022173755,-0.017760134,0.018139937,-0.005172704,,,-0.002474227,-0.005136986,0.015930268,-0.019296854,-0.01204206,-0.023122889,0.003532182,-0.02148284,-0.000325839,-0.008512902,-0.011213905,-0.008512902,0.021052632,0.04584729,,0.000717875,-0.013879251,-0.002524227,-0.003382035
7/16/2020,-0.0252,-0.01641791,0.040113452,0.001687076,0.009126467,0.001820665,-0.011492243,-0.012691571,-0.008196721,,-0.021692745,-0.002956081,-0.011529933,0.013346574,-0.004644971,0.012874303,-0.031856985,,-0.017419962,,0.003753225,0.041152263,-0.021692745,-0.009572431,-0.00989819,-0.010114607,,,-0.008267879,0.009982788,-0.032840237,0.040431267,-0.029374569,0.021010638,0.023856081,0.005087015,0.009126467,-0.007244433,-0.018996314,-0.007244433,-0.005154639,-0.004644971,,0.00251076,0.003753225,0.001687076,-0.003597122
7/17/2020,-0.015182602,-0.002883156,0.09700039,0.010555507,0.037790698,0.009541118,0.005167045,-0.002910502,0.006108516,,-0.018902217,-0.006776789,0.022880215,0.004738469,0.005275151,-0.015921589,0.0,,0.00574988,,0.020098154,-0.0743083,-0.018902217,0.000859107,0.009140246,0.003317922,,,0.003334723,-0.00408998,0.005200367,0.006606218,0.000322443,0.01562907,0.022918258,0.011188066,0.037790698,0.020810811,0.018786127,0.020810811,0.037996546,0.005275151,,0.013953488,0.020098154,0.010555507,0.005244874
7/20/2020,0.005,0.035611018,-0.043797348,0.00751426,0.010893246,-0.015751575,0.013624414,0.001702749,0.021428571,,0.00778066,0.00554371,-0.007894737,-0.015777571,0.004241523,0.039992789,-0.014756749,,-0.000476417,,-0.001832761,-0.001707942,0.00778066,0.004077253,-0.00254741,0.004406685,,,0.006647279,0.015400411,0.02221546,-0.000514734,0.013838638,-0.018209797,-0.011575803,-0.001053741,0.010893246,-0.008207572,0.025815603,-0.008207572,-0.005823627,0.004241523,,-0.000705716,-0.001832761,0.00751426,0.001761756
7/21/2020,-0.013266998,-0.013813373,0.022530329,-0.021975358,-0.015394089,-0.005944216,0.021053628,-0.005342399,-0.017832168,,-0.018014706,-0.021204411,-0.007515473,-0.004998639,-0.008445049,-0.038160198,0.001718841,,-0.011439466,,0.005508377,-0.029084688,-0.018014706,-0.022654413,0.007945516,-0.013431927,,,-0.050763516,-0.00876306,-0.033343257,-0.006051242,-0.031428368,-0.00261233,0.009066868,-0.012394515,-0.015394089,-0.005072077,-0.03125,-0.005072077,-0.00376569,-0.008445049,,-0.009180791,0.005508377,-0.021975358,-0.011769481
7/22/2020,0.000840336,-0.027268663,-0.033171913,-0.007202951,-0.037836148,-0.004139834,-0.010186101,-0.015625,0.024563902,,0.080119805,0.011265165,-0.010690423,0.00041591,0.015409274,-0.005911028,-0.015447882,,-0.003375121,,0.001597809,-0.016299559,0.080119805,-0.027334354,0.003096847,-0.004720631,,,0.023478261,0.026861612,-0.017554666,-0.012564767,-0.022942151,0.005762179,-0.003743916,0.00400534,-0.037836148,0.041051784,0.017128176,0.041051784,0.01847963,0.015409274,,0.011047755,0.001597809,-0.007202951,-0.000273785
7/23/2020,0.01427372,-0.020680147,-0.028549962,-0.028609614,-0.052323692,-0.017090069,-0.013799314,-0.015376984,0.002432245,,0.027729636,-0.016281063,-0.016659163,-0.008369437,-0.014376498,-0.033175312,-0.008215418,,-0.006773101,,-0.013217867,-0.008508733,0.027729636,-0.004721223,-0.012349144,-0.014794456,,,-0.03653356,-0.017549669,-0.005956113,-0.026105208,0.010398859,-0.0234375,-0.027057497,-0.013829787,-0.052323692,-0.049742268,-0.062587707,-0.049742268,-0.020206186,-0.014376498,,-0.022206556,-0.013217867,-0.028609614,-0.015746953
7/24/2020,-0.022350993,-0.031440638,-0.006187162,-0.01714519,0.023662551,-0.023966165,-0.001530666,-0.007052897,-0.000693241,,-0.017537943,-0.00043554,-0.008241758,-0.022363442,-0.010332253,-0.041438924,-0.049710775,,-0.004870921,,-0.001616628,-0.027100271,-0.017537943,-0.017845042,0.001420858,-0.004814245,,,0.032186949,0.004718571,-0.032481867,-0.004445043,-0.041169605,-0.016266667,0.009656238,0.008090615,0.023662551,0.002169786,-0.02754491,0.002169786,0.006734007,-0.010332253,,0.035688536,-0.001616628,-0.01714519,-0.0036867
