,date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE,,,
629,7/23/2001,33.8,21.3,2206.5343,17.7533,4.04,42.2507,46.2466,17.7951,25.8907,,25.58,16.95,,,279.9416,46.1078,100.3653,,,,,6.579,25.58,9.3771,,10.0293,,17.4033,16.25,38.1487,11.2288,,42.9328,57.5451,33.39,54.5,4.04,,43.67,,21.81,279.9416,,1.54,,17.7533,127.18,,,
630,7/24/2001,33.34,21.31,2222.1613,18.0065,4.33,41.4138,45.9934,17.7951,25.7366,,26.14,16.8,,,270.4232,45.8209,97.4905,,,,,6.579,26.14,9.18,,10.0627,,16.7865,16.0333,37.9682,11.2396,,42.309,58.9819,33.67,54.833,4.33,,43.85,,22.03,270.4232,,1.5,,18.0065,125.67,,,
631,7/25/2001,34.73,21.67,2172.1549,17.5,4.393,40.6804,45.9465,17.5742,25.5825,,25.25,16.475,,,271.1031,45.8209,95.0696,,,,,6.5757,25.25,9.4714,,10.0794,,16.0463,16.8167,37.6795,11.3369,,42.7126,58.9819,32.75,54,4.393,,43.35,,21.15,271.1031,,1.329,,17.5,123.36,,,
632,7/26/2001,35.44,22.15,2206.5343,17.8658,4.272,41.5432,45.9465,17.6724,25.4592,,25.84,16.775,,,279.1767,46.7225,95.5739,,,,,6.704,25.84,9.7029,,10.0711,,16.796,17.35,38.257,11.2396,,42.8227,58.7928,33.2,53.833,4.272,,44.12,,21.61,279.1767,,1.269,,17.8658,125.15,,,
633,7/27/2001,36.2,23,2281.5439,18.4566,4.503,43.0531,45.4777,17.6479,25.5208,,27.7,17.1,,,282.8311,46.6406,95.8261,,,,,6.704,27.7,9.6171,,10.188,,17.9347,17.6667,39.0871,11.3369,,43.7768,63.1409,35.35,54,4.503,,45.2,,21.55,282.8311,,1.167,,18.4566,128.43,,,
634,7/30/2001,37,22.52,2362.8044,18.8365,4.815,44.8649,45.7121,17.9792,25.7212,,27.4,17.19,,,276.6272,45.411,97.5913,,,,,6.7105,27.4,10.0286,,10.1797,,18.6369,17.35,38.9788,11.3477,,42.8594,65.9387,36.2,54,4.815,,46.08,,23.49,276.6272,,1.151,,18.8365,130.23,,,
635,7/31/2001,38.55,22.7,2294.0456,18.8505,4.827,45.4257,45.4777,17.9915,25.5825,,27.5,16.98,,,270.6782,45.493,98.8018,,,,,6.704,27.5,9.5743,,10.2047,,19.3106,17.0833,38.9788,11.3477,,42.8961,65.5606,37.06,54.6,4.827,,44.66,,23.49,270.6782,,1.28,,18.8505,131.72,,,
636,8/1/2001,38.61,22.6,2359.679,18.9209,4.895,45.814,45.7309,17.427,25.7366,,29.7,16.8,,,271.5281,45.493,96.9357,,,,,6.704,29.7,9.9,,10.2715,,19.9844,17.0667,38.9427,11.3369,,42.786,67.2998,39.28,54.933,4.895,,43.6,,23.91,271.5281,,1.215,,18.9209,132.39,,,
637,8/2/2001,37.5,23,2353.4282,18.9771,4.985,45.7277,45.9465,17.3288,25.752,,30,16.875,,,271.1031,45.2471,97.6418,,,,,6.6645,30,10.0371,,10.1296,,20.2596,17.3333,38.7622,11.2288,,42.5292,71.6101,38.8,56.5,4.985,,43.74,,24.72,271.1031,,1.21,,18.9771,131.7,,,
638,8/3/2001,36.49,22.82,2355.3034,18.738,4.65,43.7864,46.0872,17.0097,25.8907,,30,16.59,,,280.4515,44.0995,95.8261,,,,,6.6776,30,9.9257,,10.1964,,20.0223,17,38.7262,11.3369,,42.1622,69.9465,37.74,55.333,4.65,,44.2,,23.4,280.4515,,1.195,,18.738,130.13,,,
