date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES
10/30/2007,1048696,287711.0,,4274766.0,281769.0,,9928528.0,15532568,10362681.0,921151.0,1023238.0,1137873.0,34815646,1100005.0,2538304,764734.0,7352737.0,8921766.0,3148737.0,444969,2428709,402643,1813028,,,,18838477,,,2357552.0,4046611,4549473,432906.0,1510164.0,1422618,,7258000.0,22536971,2018604,7836944.0,,3233674.0,,2198818,94929.0,,4894201.0,1006676.0,13868181,,17296.0,1568136,,10963786.0,6235114,994973.0,801122,1351333.0,47164628.0,25774017.0,3798098.0,,,22838743,8137809.0,7102721,,,,
10/31/2007,1035867,87834.0,,6969983.0,313969.0,,6163948.0,15414721,11350896.0,87953.0,995583.0,1713825.0,44973549,1414213.0,2139165,1158399.0,7024245.0,4444521.0,5868259.0,1421242,3375092,583894,2838253,,,,34258246,,,11530659.0,4095744,4850000,1178734.0,1805312.0,1044522,,5786321.0,15717802,3814257,7457815.0,,3148747.0,,5836371,517866.0,,4598831.0,1709709.0,19861167,,96376.0,1582253,,31267933.0,8889071,1402648.0,439993,4294540.0,33065179.0,17851682.0,13334860.0,,,15340376,13116865.0,7012760,,,,
11/1/2007,1178751,113017.0,,10139574.0,303394.0,,7616530.0,5793656,6229754.0,194794.0,940511.0,1549051.0,58314048,491858.0,1206318,1758494.0,3722049.0,4987377.0,3991608.0,746942,3074663,690594,1058601,,,,13828536,,,5121830.0,3148691,2380104,440328.0,4388974.0,1055726,,6581256.0,9800126,3709167,16793691.0,,2789107.0,,5497743,421135.0,,6336628.0,2255904.0,14663825,,666712.0,1293613,,9224889.0,4278007,955063.0,400226,3818707.0,13424107.0,16563722.0,1245269.0,,,10239780,12572185.0,7392993,,,,
11/2/2007,1520063,44237.0,,8866272.0,253235.0,,2550285.0,5789463,9045374.0,354311.0,899953.0,2447114.0,25146237,1725438.0,1323183,701814.0,2800385.0,3909864.0,2716642.0,772768,3189033,773099,1152835,,,,15045515,,,5690974.0,3218036,3309887,272284.0,1582756.0,1229213,,5040259.0,10554939,2702284,5209794.0,,2546647.0,,1788032,231515.0,,5220858.0,1115379.0,9837530,,20665.0,2490356,,10035003.0,3857104,914214.0,334092,3087913.0,15589713.0,7165026.0,1918705.0,,,11409080,22136854.0,6264086,,,,
11/5/2007,499786,32797.0,,16538166.0,246556.0,,3465506.0,9915508,5892478.0,170534.0,675056.0,827511.0,14872038,289973.0,836779,470429.0,2514468.0,2376829.0,1601491.0,594083,3916502,1033341,524616,,,,14993138,,,4809069.0,2592509,2440854,124337.0,1094571.0,1338673,,3423295.0,8191684,2109400,4423376.0,,1798455.0,,6289732,496749.0,,2363803.0,701485.0,6805786,,29421.0,1627550,,5882105.0,2964757,711291.0,250494,2487151.0,21289692.0,9272277.0,1045498.0,,,5116378,12317001.0,3823323,,,,
11/6/2007,332175,380658.0,,4383726.0,139535.0,,3094071.0,10975090,5126342.0,824819.0,822474.0,1155176.0,25403512,1520600.0,684532,1307570.0,2677083.0,1617247.0,2906601.0,699587,1577928,590713,1385428,,,,15283855,,,4350582.0,3506951,4957307,184590.0,796597.0,713541,,4575621.0,5446064,2673578,1464521.0,,2946338.0,,9020407,378934.0,,2276791.0,487697.0,4925269,,40807.0,1641202,,6643881.0,2517539,1032429.0,344392,3195255.0,13199568.0,2943878.0,1691982.0,,,5655226,16108034.0,6566041,,,,
11/7/2007,860955,487685.0,,8727273.0,165524.0,,3828747.0,5163181,5658395.0,104215.0,1360993.0,958093.0,16252131,2728414.0,549416,720298.0,2354478.0,1612983.0,3111228.0,747569,1350092,610936,1143943,,,,22143674,,,4056084.0,2861018,3813536,143137.0,2236866.0,2045518,,2414542.0,7227585,5070725,2695472.0,,2410462.0,,5977854,572898.0,,2328894.0,954392.0,9247035,,75841.0,1578465,,6293346.0,3187777,1016668.0,389160,4401511.0,14283185.0,7230365.0,4467867.0,,,3550107,24096441.0,2805031,,,,
11/8/2007,1436144,181917.0,,8465267.0,845899.0,,8032555.0,8431735,8331718.0,22965031.0,1131707.0,1937934.0,27470396,428956.0,1828784,1207432.0,6620130.0,3474976.0,3120678.0,1169598,2038769,1513265,1337103,,,,20853918,,,19056345.0,5955691,6675597,337258.0,1554000.0,1151064,,5115991.0,15321116,7981187,4486170.0,,6799724.0,,2559157,323403.0,,5459142.0,817339.0,8838653,,26627.0,1742700,,10264796.0,3723212,1156265.0,503554,4861319.0,17001529.0,10305349.0,2626000.0,,,6103702,19710556.0,6714302,,,,
11/9/2007,1081926,184570.0,,10489471.0,299392.0,,4429611.0,9431054,9826541.0,1305890.0,904502.0,1617061.0,22033685,1312931.0,818759,989808.0,4157374.0,2282105.0,2604651.0,1697873,2377993,921504,1068885,,,,14344110,,,8523471.0,6135981,4383488,348245.0,1268083.0,2237657,,8437882.0,16704773,3230245,2430264.0,,3331740.0,,5014956,534270.0,,4345163.0,875424.0,6530284,,170056.0,1530733,,7077973.0,2320892,1069492.0,510391,3164141.0,22872463.0,11321030.0,2262330.0,,,9039374,21749574.0,8484124,,,,
11/12/2007,869727,142749.0,,8067498.0,341741.0,,4876843.0,5650148,6792382.0,6913368.0,1306350.0,1509340.0,18005117,1372241.0,1087659,866052.0,4368891.0,1961345.0,2514091.0,666556,1843176,1160981,1238622,,,,14908486,,,7913570.0,3238015,3008009,488908.0,2046249.0,971401,,5019872.0,12724744,5601529,3978863.0,,2170468.0,,3245005,678079.0,,5307681.0,577439.0,6045255,,247812.0,1224624,,6186511.0,2843330,817068.0,364504,2831517.0,16830963.0,6659804.0,490100.0,,,4097331,13282709.0,6310197,,,,
