,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity
5/30/2000,-0.000645600,0.059578208,-0.000645600,0.001669449,0.023140299,-0.003995434,0.002768135,-0.015220249,0.003769981,-0.071428571,-0.005763559,0.014973406,0.022296955,-0.019893899,0.000000000,-0.003334788,0.015304896,-0.007050383,0.003248863,0.007223114,-0.010990398,0.013118063,0.009010498,-0.000226193,-0.006410256,-0.075098814,-0.027245833,0.010775862,0.013333333,-0.009328365,0.043405946,-0.002590674,0.016025641,-0.004774224,0.007751938,0.011750405,-0.020100503,-0.001958492,0.035089949,0.000000000,0.109756098,0.008734058,0.012134190,0.043480835,0.064327485,0.042016807,0.006418485,0.000000000,-0.013322884,-0.016083316,0.000000000,0.017131659,-0.060046189,-0.038068709,0.000000000,0.015508943,0.017335766,0.006170539,0.033216783,-0.016911437,-0.012820513,-0.069148936,-0.000555802,0.019083969,0.015770609,0.046457153,0.019083969,0.015770609,0.046457153
5/31/2000,-0.012266182,-0.028114115,-0.012266182,-0.003333333,0.001615685,-0.017191977,0.014876822,-0.084144380,-0.022528135,0.202797203,-0.002899821,-0.022126472,-0.001616978,0.028416779,0.000000000,-0.001671442,0.007896629,0.000000000,0.015544041,0.015936255,-0.011112529,-0.001992032,0.000000000,0.010859729,-0.003870968,-0.030484330,0.004152894,-0.038379531,0.000000000,-0.133710013,0.012799407,-0.007792208,-0.030914826,-0.052756747,0.061538462,-0.018822587,-0.012820513,-0.007828794,0.022598397,0.016962843,0.024175824,0.015150621,0.005641749,0.033331641,-0.049450549,0.090322581,0.020408163,0.007692475,-0.035369886,0.012500012,0.000000000,-0.005761350,-0.016216216,-0.000965251,-0.017647059,-0.001834741,0.002690583,0.046015805,-0.008460237,0.046627433,-0.077922078,-0.017142857,0.001111250,0.004681648,0.021877205,0.088065199,0.004681648,0.021877205,0.088065199
6/1/2000,0.032679608,-0.002064064,0.032679608,0.034280936,0.000000000,0.027405248,0.001617314,0.062502263,-0.078106062,-0.127906977,0.001455468,-0.004523549,-0.008089722,-0.060526316,-0.055558475,-0.011725817,0.032052481,0.000000000,0.012117347,0.013333333,0.005612251,0.008982036,0.000000000,0.009623993,-0.034974093,0.032324420,0.024793423,-0.015521064,0.013157895,0.026087209,0.018957338,0.000000000,0.007812500,0.017718913,-0.007246377,0.101632653,-0.007792208,-0.002951197,0.005523384,0.018855544,0.055793991,0.000000000,-0.006545115,0.075268973,-0.005780347,0.021449704,-0.019375000,0.034351886,0.005332810,-0.022792020,0.000000000,-0.006688384,-0.030969031,-0.028985507,0.029940120,-0.056303600,0.037567084,0.014661210,-0.015358362,-0.048442907,0.000000000,0.006540698,-0.009433687,0.037278658,0.022099448,0.010034776,0.037278658,0.022099448,0.010034776
6/2/2000,0.003797773,0.002068334,0.003797773,-0.012126112,0.024193532,-0.015323496,0.016264459,0.054705049,0.063195073,-0.100000000,0.017416138,0.012119184,-0.014682759,0.008403361,0.039216014,0.027118097,-0.002760906,0.000000000,0.000000000,0.020123839,0.033524069,0.016815035,0.018301743,0.004876967,-0.016107383,0.000284657,-0.016130413,-0.063063063,0.045454545,0.047669517,0.013953904,0.007853403,-0.018087855,0.021145537,0.002433090,-0.038903298,-0.026178010,0.000000000,0.093406176,0.016371216,0.034552846,-0.003199261,0.007294118,0.187500168,0.104651163,0.000000000,0.032504780,0.018447092,0.039786873,0.003887321,0.000000000,-0.033213914,0.017010309,0.025870647,0.036820598,0.001299494,0.011206897,0.002885219,-0.001733102,-0.034545455,0.017605634,-0.007942238,-0.003921569,-0.043126685,0.075675676,0.058938892,-0.043126685,0.075675676,0.058938892
6/5/2000,0.036569880,-0.002064064,0.036569880,0.013093290,0.023622032,-0.001152738,-0.001068870,-0.051867628,0.009798103,0.066666667,0.001425843,-0.011974068,0.009934370,-0.043055556,0.000000000,0.033002652,0.021450973,0.007100444,0.028985507,-0.002276176,0.037836563,0.004863813,-0.009206146,0.005294507,0.023192360,-0.009675583,-0.004097681,-0.081730769,0.006211180,0.019211190,-0.001529189,-0.002597403,0.026315789,0.004263951,-0.012135922,-0.004626060,0.000000000,-0.007913923,0.030152675,0.022543854,0.019646365,0.047057985,-0.013314646,-0.037895128,-0.052631579,-0.017378711,0.000000000,-0.016303030,0.045919615,-0.024201208,0.000000000,0.002786176,0.021287380,-0.018428710,-0.024298023,-0.010364961,-0.011082694,0.000000000,-0.013888889,0.013182674,-0.013840830,-0.007278020,-0.019123031,0.016901408,0.005025126,-0.002501102,0.016901408,0.005025126,-0.002501102
6/6/2000,0.035279705,-0.002072697,0.035279705,0.006462036,0.004615255,0.011540681,-0.004265595,0.009410950,0.010349276,0.111111111,0.004274066,0.006061949,0.004097906,0.034833091,0.000000000,-0.017569358,-0.014905177,0.007036640,-0.016533987,-0.000760456,0.005203038,-0.001936108,0.026550161,-0.001316656,0.099333333,-0.010344828,0.034979843,0.010471204,-0.009259259,-0.001984058,0.004593761,-0.005208333,-0.007692308,-0.102486264,-0.022113022,-0.027885360,0.018817204,0.008971567,0.014632642,-0.001043637,-0.036608863,-0.021450798,0.035984848,-0.037197694,0.027777778,-0.042741341,0.004938272,0.003683324,0.036584504,0.030753892,0.000000000,-0.006482092,0.040694789,-0.002964427,0.000000000,-0.008507892,-0.014655172,0.000000000,-0.014084507,-0.026022305,-0.038596491,-0.022727273,0.006307629,0.001846722,-0.037500000,-0.028213915,0.001846722,-0.037500000,-0.028213915
6/7/2000,-0.019976334,-0.004149632,-0.019976334,0.004815409,0.023736672,-0.021677125,0.000000000,-0.020978628,-0.026247790,-0.100000000,0.002835507,-0.012050846,0.013877685,-0.035063114,0.000000000,0.007316543,-0.003436123,0.013988591,-0.009339975,-0.005327245,0.000000000,-0.000969932,0.003448276,0.008130081,-0.017586416,-0.002613240,-0.003979500,0.015544041,-0.009345794,-0.003976357,-0.016768150,-0.013089005,-0.020671835,-0.021622668,-0.020100503,-0.017928287,0.042216359,0.024704039,0.024039192,0.037806072,-0.056000000,0.004175583,-0.026965265,-0.045456322,-0.021621622,-0.013856813,-0.045454545,0.009176248,-0.011763564,0.005774860,0.000000000,0.006524384,-0.113972341,-0.048562934,0.026821018,-0.020460997,-0.005249344,0.002884653,-0.028571429,0.022900763,-0.007299270,-0.025506377,-0.009686326,-0.004608295,0.012987013,-0.024514682,-0.004608295,0.012987013,-0.024514682
6/8/2000,0.073141572,0.008333846,0.073141572,-0.017571885,-0.001495844,-0.013994169,0.003746569,-0.023215517,-0.038790795,-0.055555556,0.007073940,-0.015242558,-0.001609717,0.030523256,-0.006290251,-0.007263400,0.006208876,0.000000000,0.031426776,0.000765111,0.000000000,0.005825243,-0.003436426,-0.006102877,0.017283951,-0.002037846,-0.005985027,-0.007653061,-0.006289308,-0.061876225,0.071318361,0.013262599,0.029023747,0.027623161,0.000000000,-0.035699797,0.000000000,0.012535186,-0.046947431,0.007078143,0.025423729,0.007277672,0.009863786,-0.023809219,0.104972376,-0.119437939,0.003861004,0.000000000,-0.007144810,0.012440200,0.000000000,0.000000000,-0.012917115,0.019791667,0.000000000,0.033019684,-0.008795075,0.000000000,0.022058824,0.013059701,0.003676471,0.073903002,0.009781069,-0.004629630,-0.025641026,0.001983758,-0.004629630,-0.025641026,0.001983758
6/9/2000,0.004469295,-0.010329031,0.004469295,-0.009756098,0.018726580,-0.008870491,0.004282345,-0.024985217,-0.070451968,-0.088235294,0.014043321,-0.001550739,-0.032258596,0.025387870,0.000000000,0.000000000,-0.004113709,0.000000000,-0.025594150,-0.009174312,0.010364112,-0.000965251,0.000000000,-0.007456140,-0.009708738,0.013710618,-0.036146682,0.051413882,0.015822785,0.006383135,-0.007236539,0.000000000,-0.007692308,-0.064516129,-0.017948718,0.046276820,0.000000000,-0.002860000,-0.019706459,0.000000000,-0.028925620,0.006190702,0.002790698,-0.019510366,-0.030000000,0.031914894,0.010256410,-0.018182192,-0.041966398,-0.000945345,0.000000000,0.015277933,-0.062704471,0.021450460,0.022388036,0.028048748,-0.006211180,0.000000000,0.064748201,0.006445672,-0.054945055,0.017921147,0.006268092,0.014883721,-0.012500000,-0.040925932,0.014883721,-0.012500000,-0.040925932
6/12/2000,-0.044494094,0.000000000,-0.044494094,-0.001642036,-0.014705873,0.052505967,0.002650648,0.000000000,0.035320065,-0.048387097,0.005540046,-0.020152324,-0.024167397,-0.074277854,0.003167728,0.056910085,-0.017906718,0.000000000,0.002501563,0.000000000,0.000000000,0.003864734,0.026292750,-0.001325674,0.015318627,-0.007194245,-0.035417167,-0.041564792,0.003115265,-0.027484311,0.010204211,0.000000000,0.005167959,0.020834060,-0.028720627,0.082026538,-0.002531646,-0.003820928,-0.005023791,-0.007028395,-0.021276596,0.037949916,0.001159555,0.015545025,0.025773196,0.018041237,-0.050761421,0.000000000,0.022528782,-0.017029249,0.016327234,0.042407467,-0.034904014,0.007000000,0.003647546,-0.006980160,0.007142857,0.000000000,-0.013513514,0.023787740,0.000000000,0.042253521,-0.016421855,-0.008249313,0.009993338,0.022025912,-0.008249313,0.009993338,0.022025912
6/13/2000,0.018626403,0.010436833,0.018626403,0.000822368,-0.014925364,0.004535147,0.000000000,0.022502625,-0.029849441,0.000000000,0.015151823,0.014241200,0.005978884,-0.007429421,0.000000000,-0.030768581,0.007011457,0.000000000,-0.000623830,-0.005401235,-0.010257799,-0.000962464,-0.006301596,-0.010619469,0.010863005,-0.007826087,-0.028075339,0.040816327,-0.015527950,-0.021739147,0.010101137,0.000000000,-0.008997429,-0.011962401,-0.013440860,-0.013377926,-0.020304569,-0.008627546,-0.005051652,0.012142947,-0.073913043,0.000000000,0.039379199,0.041031286,-0.015075377,0.010970464,0.002673797,0.016665270,-0.007343230,0.010587087,0.000000000,0.020122888,-0.044605184,-0.006951341,0.007274813,0.014697208,0.000000000,0.014366354,0.034246575,-0.000893655,0.031007752,-0.053378378,0.000000000,0.016635860,0.007915567,0.010099132,0.016635860,0.007915567,0.010099132
6/14/2000,-0.022857255,0.002064064,-0.022857255,-0.022185703,0.000000000,0.007900677,0.007959656,-0.012225350,-0.016850446,-0.076271186,0.017640568,0.010920422,-0.025466234,0.011976048,0.012614790,0.015871217,0.044570247,0.048277904,0.000000000,0.001551590,-0.031080438,0.012524085,0.102284622,0.006484794,0.015522388,-0.062518259,-0.062225357,-0.019607843,0.000000000,0.042222335,0.042857121,0.000000000,-0.003891051,-0.039887124,-0.032697548,0.047080979,0.062176166,-0.011606889,0.005077300,0.022005346,-0.007042254,0.001977881,-0.010474705,-0.023531584,-0.035714286,0.003338898,0.006000000,0.010929206,-0.030827256,0.006666601,0.000000000,0.012006707,-0.013249211,-0.045000000,0.045125276,-0.010704452,0.056737589,0.050995507,-0.001655629,-0.016100179,0.169172932,-0.034975018,0.000576281,0.009090909,-0.018324607,0.066667090,0.009090909,-0.018324607,0.066667090
6/15/2000,0.043274807,0.024743827,0.043274807,-0.008403361,0.009090862,-0.017917133,0.062105338,0.002473539,0.034275803,-0.045871560,0.020000148,0.000000000,0.013936616,0.029585799,0.056077938,-0.013280627,0.009332590,0.026320520,-0.000624220,0.000000000,-0.042786265,-0.004757374,0.030674847,0.006887358,-0.007054674,0.021190402,0.052133791,0.000000000,0.004731861,-0.012793110,-0.030821716,0.000000000,-0.005208333,-0.007416292,-0.019718310,-0.005395683,0.021951220,-0.009780855,-0.005051652,0.004896296,0.024822695,0.001970991,0.005405405,-0.060240184,-0.005291005,0.023294509,0.051689861,0.000000000,0.030534243,-0.017975488,0.000000000,0.040677451,0.034526854,0.036649215,-0.039724648,0.018458963,-0.008389262,0.032340198,-0.001658375,-0.005454545,0.035369775,-0.002218935,0.001150892,0.004504505,-0.010666667,0.000000000,0.004504505,-0.010666667,0.000000000
6/16/2000,0.053811931,0.096581175,0.053811931,0.018644068,0.010510422,-0.020524515,0.005945351,-0.021604966,0.027378826,-0.134615385,0.027449733,-0.003087101,-0.003437361,0.000000000,-0.002952800,-0.002374161,0.036989225,0.006405124,-0.018113679,-0.001549187,-0.016755619,0.005736138,-0.002976190,0.001544572,-0.025458851,0.021055844,0.013515852,0.000000000,-0.007849294,-0.058315217,-0.018374673,0.000000000,-0.005235602,-0.001495067,0.054597701,-0.001808318,0.011933174,-0.001981718,0.030458787,0.009714614,0.016147636,0.027560451,0.006496416,0.069231469,-0.031914894,-0.092682927,-0.009451796,0.023422242,0.007406694,0.003853616,0.000000000,-0.026058315,-0.041409147,-0.030303030,0.089929178,-0.008749810,0.001692047,0.028720572,0.003322259,0.027422303,-0.006211180,0.020014826,-0.002873419,0.019730942,-0.021563342,0.028125763,0.019730942,-0.021563342,0.028125763
6/19/2000,-0.039361651,-0.014679779,-0.039361651,-0.011647255,-0.003714708,-0.131548312,0.002468148,0.048580505,-0.020335945,-0.044444444,0.038168261,-0.015478490,0.006898434,-0.063218391,0.000000000,0.014284677,-0.021657097,0.012741150,-0.012722646,-0.010085337,0.005676035,-0.001901141,-0.007463909,0.000000000,0.030376671,-0.006276151,-0.004443706,0.010000000,-0.003164557,0.055045572,-0.006479282,0.000000000,0.005263158,0.041164991,0.005449591,-0.012318841,0.025943396,0.000998025,0.021674915,0.005784678,0.019296254,0.012451996,-0.012463833,-0.064748813,0.043956044,0.028673835,0.013358779,0.001762264,0.017157954,0.006717785,0.000000000,-0.010870054,0.019987105,0.026041667,0.016500707,0.011348247,-0.003378378,-0.020303912,-0.006622517,-0.033807829,-0.012500000,0.011627907,-0.029394944,-0.019349164,0.024793388,0.000000000,-0.019349164,0.024793388,0.000000000
6/20/2000,-0.003322524,0.050280426,-0.003322524,0.008417508,-0.000745589,-0.002680965,0.000000000,-0.022862803,-0.075162857,0.186046512,-0.014705550,0.009431147,0.006848986,-0.003067485,-0.005913017,-0.021910211,-0.001300276,0.018865146,0.013530928,-0.003134796,0.011300974,0.015238095,0.000000000,-0.014100022,-0.018867925,-0.016541353,0.004463540,-0.009900990,-0.031746032,0.060869767,0.014492480,0.002617801,-0.005235602,0.063985228,-0.010840108,0.034482759,0.018390805,0.017801134,0.039536545,0.025896236,0.074610245,-0.035005744,0.001803020,0.017950124,0.126315789,0.067944251,0.014438167,0.007030028,0.021687336,0.000953456,0.000000000,0.009298914,0.049304678,0.037563452,-0.004057518,0.003116139,0.004237288,-0.028497337,0.015000000,-0.033149171,0.041139241,-0.032327586,0.021971638,0.004484305,-0.004704301,0.003038951,0.004484305,-0.004704301,0.003038951
6/21/2000,-0.008888933,0.035459376,-0.008888933,-0.040066778,-0.001492495,-0.051075269,0.002448762,-0.027092747,-0.018575851,0.156862745,0.011193200,-0.028038787,0.000000000,-0.076923077,0.008927350,-0.003198472,0.016949490,0.000000000,-0.021614749,-0.009433962,-0.011174690,-0.007504690,0.000000000,0.005810056,-0.016826923,-0.048318043,-0.002224099,0.100000000,-0.016393443,-0.012295016,-0.020000248,0.000000000,0.005263158,-0.072974454,-0.024657534,0.014184397,-0.002257336,0.000000000,-0.007420542,-0.009353396,-0.020725389,0.001959399,-0.004724409,0.070528981,0.121495327,-0.003262643,0.011757426,0.020942856,-0.113207051,-0.004761814,0.000000000,-0.003350042,0.003614458,0.017612524,-0.015485854,0.031697078,-0.002531646,-0.018663365,-0.001642036,-0.023809524,-0.021276596,-0.049740163,-0.016269604,0.004464286,-0.006752194,0.000000000,0.004464286,-0.006752194,0.000000000
6/22/2000,0.008968655,-0.006849735,0.008968655,-0.041739130,0.005978905,0.014872521,0.000000000,0.006327799,-0.055991550,-0.008474576,0.022140866,0.001605417,-0.023809472,0.000000000,0.073744683,-0.011236450,0.012818354,0.006167932,-0.028589994,-0.000793651,0.000000000,0.000000000,-0.003007523,-0.014885581,-0.018337408,-0.007069409,-0.051223279,0.090909091,-0.013333333,-0.008298833,-0.010932347,0.000000000,-0.008507853,-0.040817482,0.016853933,-0.008391608,-0.004524887,0.000000000,-0.018693509,0.000000000,0.015873016,-0.000977784,-0.000904159,0.012940727,0.016666667,0.004091653,-0.006727829,-0.073504202,-0.047873586,-0.017225107,0.000000000,-0.023529116,-0.039015606,0.030769231,0.000000000,0.000000000,0.006768190,-0.002720027,0.003289474,-0.047804878,-0.068322981,0.039843750,0.021263576,-0.008888889,-0.018354861,-0.015151603,-0.008888889,-0.018354861,-0.015151603
