,date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES,,
1453,10/26/2004,1059.329,,1059.329,864.5,6386.218,,100.728,615.628,241.443,,159.967,185.464,302.25,,2215.492,378.013,314.684,153.725,,256.5,244.284,179.25,489.225,,,,212.101,,261.5,163.462,536.312,623,,149.32,288,,230.5,243.238,177.35,60.17,,569.983,,62,130,,367,308.744,116.621,,572.383,1100.518,,,484.167,,1180,209.735,218.25,405,,,,107.44,206.25,223.534,107.44,206.25,223.534,2278.21,,
1454,10/27/2004,1071.53,,1071.53,877,6453.57,,102.279,621.843,248.625,,160.51,185.786,305.5,,2200.522,384.568,315.994,152.14,,258,243.63,181,511.225,,,,214.55,,263.25,172.218,534.472,630.5,,146.025,290.5,,232,251.238,178.969,60.17,,569.322,,63.25,137.5,,369,309.805,114.827,,572.383,1096.56,,,491.167,,1179,211.233,222,408.25,,,,108.205,206.5,222.274,108.205,206.5,222.274,2299.89,,
1455,10/28/2004,1062.656,,1062.656,873,6184.161,,102.5,620.185,247.52,,156.714,183.214,307.5,,2203.516,386.753,318.941,153.989,,259,239.929,181.5,509.3,,,,214.55,,263,178.056,540.911,625,,147.878,291,,234,249.905,178.16,60.17,,569.322,,64.75,130,,354,311.927,117.294,,572.383,1069.508,,,494.083,,1197,213.159,222,406.5,,,,109.055,214.5,220.541,109.055,214.5,220.541,2305.55,,
1456,10/29/2004,1052.673,,1052.673,859,6263.759,,102.131,617.285,248.625,,162.679,184.5,302.25,,2203.516,398.771,320.251,153.725,,259.9,236.228,183.25,506.275,,,,214.327,,263,178.056,535.852,618,,147.878,290.75,,234,248.952,176.54,60.17,,568.662,,64,135,,357.5,315.64,115.5,,577.834,1071.488,,,494.958,,1190,210.163,226.5,403.25,,,,108.97,215.25,221.643,108.97,215.25,221.643,2297.66,,
1457,11/1/2004,1065.43,,1065.43,873,6294.374,,102.648,626.814,249.73,,158.883,185.143,306.75,,2212.498,402.868,327.127,154.254,,262.5,241.235,184,504.075,,,,215.885,,263.25,180.975,542.291,623,,148.084,293,,247.5,251.429,178.362,60.17,,571.964,,64.25,132.5,,363.5,309.275,119.5,,577.834,1076.766,,,503.125,,1196,212.731,227,408.75,,,,110.415,216,225.267,110.415,216,225.267,2320.19,,
1458,11/2/2004,1062.102,,1062.102,872.5,6337.234,,103.387,626.814,254.703,,159.696,187.714,312.75,,2202.019,403.141,331.384,153.989,,264,245.808,186,504.9,,,,216.33,,264.75,180.975,544.591,634,,151.585,293,,251,252.19,178.969,60.17,,575.597,,64,137.5,,366.5,323.067,119.25,,577.834,1082.704,,,511.292,,1213,214.443,226.75,405.5,,,,112.115,218.75,227.157,112.115,218.75,227.157,2330.43,,
1459,11/3/2004,1063.766,,1063.766,875,6337.234,,103.017,630.128,259.399,,161.594,189,313,,2237.946,405.326,327.455,154.782,,264,254.734,186.5,511.5,,,,212.546,,266,175.137,548.271,635.5,,146.642,294.5,,256.5,256,178.16,60.17,,579.229,,65.75,137.5,,366,323.598,120,,577.834,1071.488,,,515.083,,1200,216.797,227.25,408.5,,,,113.305,217.25,229.362,113.305,217.25,229.362,2343.47,,
1460,11/4/2004,1079.85,,1079.85,874,6429.078,,103.534,638,265.2,,164.848,190.929,310.25,,2237.946,404.233,322.87,156.367,,263.4,255.823,186,508.75,,,,215.44,,266,180.975,550.111,628.5,,146.231,297,,253,248,180.994,59.84,,582.862,,65.75,140,,358,320.945,118.5,,651.427,1071.488,,,521.792,,1197,216.583,228.75,413.5,,,,113.05,215.5,227.472,113.05,215.5,227.472,2348.46,,
1461,11/5/2004,1087.06,,1087.06,880,6465.816,,103.534,639.243,268.239,,162.95,187.071,310.75,,2187.05,409.696,320.905,158.216,,269.4,254.516,188.5,493.625,,,,214.995,,265.75,186.813,557.47,628,,147.054,302,,257,253.524,183.018,63.38,,583.522,,66,140,,369,323.598,120.25,,684.134,1074.787,,,540.167,,1215,217.868,234.25,410.5,,,,113.985,224.5,230.623,113.985,224.5,230.623,2356.19,,
1462,11/8/2004,1087.614,,1087.614,861,6367.849,,103.313,645.043,261.609,,161.865,186.429,303,,2185.553,409.696,321.233,154.782,,268.4,255.605,188,492.8,,,,216.33,,265.5,195.57,559.31,615,,145.819,300.25,,250,252.381,182.209,62.26,,582.862,,65.5,140,,359,322.006,120.25,,733.196,1064.89,,,531.125,,1220,218.296,234,413.75,,,,112.795,219,232.198,112.795,219,232.198,2344.63,,
