security_ticker,market_ticker,event_date
AGK LN Equity,FTSE ALL SHARES,6/22/2015
WEIR LN Equity,FTSE ALL SHARES,9/21/2015
MGGT LN Equity,FTSE ALL SHARES,12/21/2015
MRW LN Equity,FTSE ALL SHARES,12/21/2015
GFS LN Equity,FTSE ALL SHARES,12/21/2015
BET LN Equity,FTSE ALL SHARES,3/21/2016
FRAS LN Equity,FTSE ALL SHARES,3/21/2016
HIK LN Equity,FTSE ALL SHARES,3/21/2016
ADN LN Equity,FTSE ALL SHARES,3/21/2016
ISAT LN Equity,FTSE ALL SHARES,6/20/2016
BKG LN Equity,FTSE ALL SHARES,9/19/2016
POLY LN Equity,FTSE ALL SHARES,12/19/2016
TPK LN Equity,FTSE ALL SHARES,12/19/2016
CURY LN Equity,FTSE ALL SHARES,3/20/2017
HIK LN Equity,FTSE ALL SHARES,6/19/2017
INTU LN Equity,FTSE ALL SHARES,6/19/2017
IDS LN Equity,FTSE ALL SHARES,9/18/2017
BAB LN Equity,FTSE ALL SHARES,12/18/2017
CTEC LN Equity,FTSE ALL SHARES,12/18/2017
MERL LN Equity,FTSE ALL SHARES,12/18/2017
HMSO LN Equity,FTSE ALL SHARES,3/19/2018
MDC LN Equity,FTSE ALL SHARES,6/18/2018
GFS LN Equity,FTSE ALL SHARES,6/18/2018
IDS LN Equity,FTSE ALL SHARES,12/24/2018
JE/ LN Equity,FTSE ALL SHARES,12/24/2018
ENT LN Equity,FTSE ALL SHARES,3/18/2019
WPG LN Equity,FTSE ALL SHARES,3/18/2019
EZJ LN Equity,FTSE ALL SHARES,6/24/2019
HIK LN Equity,FTSE ALL SHARES,6/24/2019
DLG LN Equity,FTSE ALL SHARES,9/23/2019
MKS LN Equity,FTSE ALL SHARES,9/23/2019
MCRO LN Equity,FTSE ALL SHARES,9/23/2019
HSX LN Equity,FTSE ALL SHARES,12/23/2019
FRES LN Equity,FTSE ALL SHARES,12/23/2019
KGF LN Equity,FTSE ALL SHARES,3/23/2020
