date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES
3/8/2004,-0.010934499,,-0.010934499,-0.005061867,-0.017784899,,-0.013964305,-0.006055501,-0.010716658,,-0.006128247,-0.007216223,-0.009724473,,0.208017019,0.000682734,0.023981862,-0.018184113,,-0.004550626,-0.011977612,-0.011734029,0.016911765,,,,0.00331549,,-0.001184834,0.011628092,-0.006135522,0.009592326,,-0.018388215,0.009469697,,0.033925687,-0.00721797,-0.018718585,-0.010149064,,0.002022177,,0.011428571,-0.013333333,,0.0,-0.011363075,-0.037427672,,0.0,0.01791935,,,0.023295482,,-0.020725389,0.0,-0.006024096,-0.011689071,,,,-0.008163265,-0.036117381,-0.022239071,-0.008163265,-0.036117381,-0.022239071,-0.00294879
3/9/2004,-0.003869185,,-0.003869185,0.011871114,-0.041152319,,0.0,0.002285107,-0.010156315,,-0.04005933,0.010905841,-0.011456628,,-0.004576799,-0.010921287,0.00407389,0.009260449,,0.002666667,-0.033334261,-0.013192612,0.007953724,,,,0.018722722,,-0.00118624,-0.034483302,-0.017746844,-0.020981789,,-0.018737006,-0.024390244,,-0.003125,-0.004244542,-0.012345679,0.0,,0.002018096,,-0.06779661,-0.040540541,,-0.02,-0.003536773,-0.040740832,,0.0,-0.011510518,,,0.00813101,,-0.00952381,0.013250975,0.023232323,0.032525133,,,,-0.020576132,-0.035128806,-0.012637242,-0.020576132,-0.035128806,-0.012637242,-0.000788963
3/10/2004,-0.017203806,,-0.017203806,-0.026256983,-0.002574996,,-0.017502285,-0.015957447,-0.018468448,,-0.016055412,-0.023378135,-0.016556291,,0.0,-0.003449008,-0.008111624,-0.021407524,,-0.007598784,-0.003134014,-0.010695187,-0.018651363,,,,-0.027025845,,-0.03087886,-0.071425658,-0.026707564,-0.001213101,,-0.021818198,-0.041346154,,-0.006269592,-0.031647026,-0.040912663,-0.020666453,,-0.015437518,,-0.045454545,-0.035211268,,-0.032069971,-0.02040946,-0.019307412,,-0.019156862,-0.027396933,,,-0.010484783,,-0.027777778,-0.02213271,-0.0029615,-0.017182131,,,,-0.019607843,-0.079288026,-0.023036008,-0.019607843,-0.079288026,-0.023036008,-0.021486451
3/11/2004,0.028232523,,0.028232523,-0.00172117,0.020653993,,0.009337744,0.021621622,0.009058597,,-0.014680842,0.00920727,0.004208754,,0.032184129,0.011772283,0.002042148,0.003123429,,0.005742726,0.045073325,0.0,0.0,,,,-0.007777608,,-0.011029412,0.0,0.022599138,0.023481781,,0.035318644,-0.001003009,,0.025236593,0.017597872,0.030806866,-0.015704237,,0.011588351,,0.006349206,0.02189781,,0.006024096,0.047102575,0.021653647,,0.0,0.004225674,,,-0.009779951,,0.007692308,0.005146271,-0.011881188,-0.004662005,,,,0.014285714,0.014059754,0.048904757,0.014285714,0.014059754,0.048904757,0.005851328
3/12/2004,-0.023612653,,-0.023612653,-0.006896552,-0.025295116,,0.008397911,-0.031746032,-0.012429689,,0.003309661,-0.016424155,-0.003352892,,0.013362693,-0.000684135,0.001533164,-0.020244968,,-0.009897221,-0.019053937,-0.005405405,-0.00877193,,,,-0.014558644,,-0.016109046,-0.051282727,-0.029203731,0.005142405,,-0.051168507,0.004016064,,-0.030769231,-0.014822573,-0.009197491,0.0,,-0.010106802,,-0.05362776,-0.021428571,,-0.038922156,-0.048440751,-0.025043601,,0.0,-0.0035064,,,0.010700529,,-0.002181025,-0.007163497,-0.009018036,-0.021662763,,,,-0.043661972,-0.067590988,-0.024144784,-0.043661972,-0.067590988,-0.024144784,-0.011984153
3/15/2004,0.007873289,,0.007873289,0.002314815,0.000865062,,0.014997122,0.014831355,-0.005594399,,-0.019798545,-0.012987013,0.008410429,,-0.021977966,-0.002056318,0.002545139,-0.004773083,,-0.005382545,0.026581256,0.0,-0.004424779,,,,0.019318432,,0.007556675,-0.027027402,0.01138314,-0.005116096,,-0.020813237,0.1,,0.019047619,0.028211711,-0.025522161,0.005318265,,0.006806662,,-0.02,-0.01459854,,0.024922118,0.010905888,-0.007913149,,0.0,-0.009852254,,,0.001627732,,0.015846995,0.003087479,0.010111223,0.000598444,,,,-0.002945508,0.040892193,0.011092816,-0.002945508,0.040892193,0.011092816,0.002503924
3/16/2004,-0.011160267,,-0.011160267,0.013279446,-0.000864314,,0.006570609,-0.026154397,0.026721619,,-0.003365373,0.015035088,-0.027522936,,-0.020224591,0.021276489,0.004065608,0.011182543,,0.003478933,0.010956485,0.005434783,0.000740741,,,,0.01337571,,0.0025,0.069445436,0.012057205,0.056962025,,0.029953042,0.007272727,,0.01635514,0.015244205,0.009525994,0.0,,-0.018254968,,0.047619048,-0.022222222,,-0.003039514,0.003597208,-0.007967384,,0.0,0.029850859,,,0.012195122,,0.048951049,-0.008218967,0.014014014,0.020334928,,,,0.026587888,0.035714286,0.005062355,0.026587888,0.035714286,0.005062355,0.006434214
3/17/2004,-0.007900968,,-0.007900968,-0.012535613,0.014705905,,0.052199653,0.0,-0.004108349,,0.023643387,0.003704536,-0.003430532,,0.006880945,-0.016128715,0.002531489,0.020538769,,-0.011941448,-0.009851258,-0.012162162,0.002220577,,,,0.011001526,,-0.017456359,-0.051948745,-0.020651438,-0.024700599,,-0.024390577,0.003610108,,-0.022988506,0.001201351,-0.002359026,0.0,,0.017217971,,-0.035714286,0.015151515,,0.016768293,0.003584314,0.028114284,,0.0,-0.031745999,,,-0.013653701,,-0.008717949,0.007252583,0.010858835,-0.007033998,,,,-0.026618705,-0.044827586,0.009236903,-0.026618705,-0.044827586,0.009236903,-0.011329509
3/18/2004,-0.00056819,,-0.00056819,0.004616272,-0.014492776,,0.023261917,0.027646167,-0.011004113,,0.033005691,-0.011066849,0.014629948,,0.042140991,-0.002048202,0.019685889,0.015477935,,0.009746589,0.018906814,-0.01504788,-0.003692762,,,,-0.001086861,,0.020304569,0.013698823,0.003244412,0.043745203,,0.024038619,0.021582734,,-0.021176471,0.014997292,0.002364604,0.010580261,,0.011507827,,0.01010101,0.0,,0.004497751,0.0,-0.033197767,,0.003906776,0.013542535,,,-0.006516513,,0.039834454,0.012346633,-0.010742188,0.021251476,,,,-0.001478197,-0.009927798,0.003327172,-0.001478197,-0.009927798,0.003327172,0.004892955
3/19/2004,-0.007968418,,-0.007968418,-0.022400919,-0.015570967,,-0.011366551,-0.011529078,-0.014602968,,0.020768524,-0.024256179,-0.040712468,,-0.016393215,-0.019849941,0.000991749,-0.02743679,,-0.019305019,0.035156338,-0.016666667,-0.008154188,,,,-0.013074141,,-0.018656716,-0.067568506,-0.02101872,-0.005882353,,-0.02723095,-0.006161972,,-0.038461538,-0.023640493,-0.033020544,-0.010469491,,-0.006692773,,-0.053333333,-0.052238806,,-0.021641791,-0.048213739,-0.014142233,,0.0,-0.013361586,,,0.0,,0.0,-0.02744112,-0.017769003,-0.029479769,,,,-0.028127313,-0.052871468,-0.021560164,-0.028127313,-0.052871468,-0.021560164,-0.018503602
3/22/2004,-0.004016729,,-0.004016729,0.01586369,-0.012302279,,-0.009193637,-0.027216196,0.004938089,,0.01877601,-0.009559388,0.003536693,,-0.016667174,-0.016759434,-0.012858813,0.028210804,,-0.005905512,-0.031132873,-0.004237288,-0.005231689,,,,-0.011033498,,0.006337136,0.101450786,0.006606704,-0.022928994,,0.005792673,-0.007971656,,0.006666667,-0.013318842,-0.009752307,-0.010745578,,-0.002695555,,0.021126761,-0.023622047,,-0.014492754,-0.00937931,0.00614007,,-0.027236726,0.0,,,-0.002459019,,0.02039801,-0.009399519,-0.009045226,-0.007742704,,,,0.012185834,0.033686237,0.023729853,0.012185834,0.033686237,0.023729853,-0.00289541
3/23/2004,0.014401386,,0.014401386,-0.009832273,-0.008007062,,-0.005414463,-0.008792697,0.015450709,,-0.038400961,-0.032816817,0.000881057,,0.0,0.00852125,0.002004284,0.0,,-0.007920792,0.026288014,0.0,-0.006761833,,,,-0.007812324,,-0.002518892,0.039474218,0.006561558,0.039364118,,-0.003839541,-0.003571429,,0.014072848,0.015337739,0.02955722,-0.010695187,,0.00337804,,0.006896552,-0.008064516,,-0.009287926,0.0,-0.018325962,,0.0,0.005701779,,,-0.009037689,,0.023890785,-0.011606117,0.014198783,0.0,,,,-0.012791573,-0.010242086,-0.017383536,-0.012791573,-0.010242086,-0.017383536,-0.001438037
3/24/2004,0.022714474,,0.022714474,0.011098131,0.018833997,,0.012435768,0.038710255,0.012446866,,-0.015972615,0.011972478,0.022887324,,0.0,0.0,0.006999435,0.0,,0.011976048,-0.013282319,0.017021277,0.003782148,,,,0.004498685,,0.032828283,0.063287626,0.025265385,0.011653314,,0.032757209,0.003584229,,0.0,0.037463758,0.002386973,0.005405405,,0.00875415,,0.037671233,0.056910569,,-0.0015625,0.01136388,0.033191796,,0.0,0.02055311,,,-0.021557925,,-0.012380952,0.028817569,0.003,0.008403361,,,,0.03429878,0.017873942,0.018536048,0.03429878,0.017873942,0.018536048,0.013970438
