security_ticker,market_ticker,event_date
LSEG LN Equity,FTSE ALL SHARES,06/22/09
LSEG LN Equity,FTSE ALL SHARES,03/18/13
MAB LN Equity,FTSE ALL SHARES,04/20/07
MCRO LN Equity,FTSE ALL SHARES,09/05/16
MDC LN Equity,FTSE ALL SHARES,03/21/16
MERL LN Equity,FTSE ALL SHARES,04/13/15
MGGT LN Equity,FTSE ALL SHARES,10/07/11
MGGT LN Equity,FTSE ALL SHARES,09/20/21
MGGT LN Equity,FTSE ALL SHARES,09/23/19
MKS LN Equity,FTSE ALL SHARES,09/18/23
MNDI LN Equity,FTSE ALL SHARES,09/23/13
MRO LN Equity,FTSE ALL SHARES,09/24/12
MRO LN Equity,FTSE ALL SHARES,04/24/18
MRW LN Equity,FTSE ALL SHARES,03/21/16
MRW LN Equity,FTSE ALL SHARES,09/20/21
MRW LN Equity,FTSE ALL SHARES,04/10/01
NMC LN Equity,FTSE ALL SHARES,09/18/17
NMC LN Equity,FTSE ALL SHARES,04/27/20
NRK LN Equity,FTSE ALL SHARES,09/24/01
NXT LN Equity,FTSE ALL SHARES,06/18/01
OCDO LN Equity,FTSE ALL SHARES,06/18/18
PFC LN Equity,FTSE ALL SHARES,06/23/08
PFC LN Equity,FTSE ALL SHARES,03/23/09
PHNX LN Equity,FTSE ALL SHARES,03/18/19
PNN LN Equity,FTSE ALL SHARES,06/29/12
PNN LN Equity,FTSE ALL SHARES,03/23/20
POLY LN Equity,FTSE ALL SHARES,12/19/11
POLY LN Equity,FTSE ALL SHARES,09/19/16
POLY LN Equity,FTSE ALL SHARES,09/23/19
PON LN Equity,FTSE ALL SHARES,03/20/00
PSH LN Equity,FTSE ALL SHARES,12/21/20
PSN LN Equity,FTSE ALL SHARES,12/19/05
PSN LN Equity,FTSE ALL SHARES,06/24/13
PUB LN Equity,FTSE ALL SHARES,04/17/07
PWG LN Equity,FTSE ALL SHARES,07/12/00
REX LN Equity,FTSE ALL SHARES,09/23/02
REX LN Equity,FTSE ALL SHARES,02/15/16
RMV LN Equity,FTSE ALL SHARES,06/28/18
RR/ LN Equity,FTSE ALL SHARES,12/18/00
RR/ LN Equity,FTSE ALL SHARES,06/23/03
RRS LN Equity,FTSE ALL SHARES,12/22/08
